,id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient.id,pass.recipient.name,pass.recipient.position,pass.endLocation.x,pass.endLocation.y,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.id,possession.team.name,possession.team.formation,possession.attack.withShot,possession.attack.withShotOnGoal,possession.attack.withGoal,possession.attack.flank,possession.attack.xg,pass,aerialDuel.opponent.id,aerialDuel.opponent.name,aerialDuel.opponent.position,aerialDuel.opponent.height,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent.id,infraction.opponent.name,infraction.opponent.position,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper.id,shot.goalkeeper.name,possession.attack,groundDuel.opponent.id,groundDuel.opponent.name,groundDuel.opponent.position,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,possession,shot.goalkeeper,location,carry.progression,carry.endLocation.x,carry.endLocation.y,infraction.opponent
0,1615272856,5414103,1H,0,5,00:00:05.650,6.650953,1615272858.0,,,,,,pass,"['back_pass', 'short_or_medium_pass']",50.0,50.0,12046,Slovenia,4-4-2,11049,Kazakhstan,5-4-1,353806,Ž. Celar,CF,True,-159.0,,25.0,512313.0,J. Bijol,LCB,28.0,37.0,1615272856.0,14.825304,['attack'],11.0,0.0,50.0,50.0,75.0,48.0,12046.0,Slovenia,4-4-2,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1615272858,5414103,1H,0,8,00:00:08.640,9.640166,1615272585.0,,,,,,pass,"['forward_pass', 'long_pass', 'loss', 'pass_to_final_third']",28.0,37.0,12046,Slovenia,4-4-2,11049,Kazakhstan,5-4-1,512313,J. Bijol,LCB,False,25.0,high,58.0,334857.0,M. Bystrov,LCB3,78.0,74.0,1615272856.0,14.825304,['attack'],11.0,1.0,50.0,50.0,75.0,48.0,12046.0,Slovenia,4-4-2,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1615272585,5414103,1H,0,11,00:00:11.653,12.653879,1615272859.0,,,,,,pass,"['forward_pass', 'head_pass', 'loss', 'progressive_pass', 'short_or_medium_pass']",22.0,26.0,11049,Kazakhstan,5-4-1,12046,Slovenia,4-4-2,334857,M. Bystrov,LCB3,False,-7.0,high,17.0,505514.0,Ž. Karničnik,RB,38.0,23.0,1615272856.0,14.825304,['attack'],11.0,2.0,50.0,50.0,75.0,48.0,12046.0,Slovenia,4-4-2,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1615272859,5414103,1H,0,13,00:00:13.533,14.533728,1615272860.0,,,,,,interception,"['head_pass', 'pass', 'recovery', 'counterpressing_recovery', 'short_or_medium_pass']",62.0,77.0,12046,Slovenia,4-4-2,11049,Kazakhstan,5-4-1,505514,Ž. Karničnik,RB,True,-111.0,high,9.0,234139.0,J. Gorenc Stankovič,RCMF,59.0,65.0,1615272856.0,14.825304,['attack'],11.0,3.0,50.0,50.0,75.0,48.0,12046.0,Slovenia,4-4-2,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1615272860,5414103,1H,0,15,00:00:15.373,16.373945,1615272862.0,,,,,,pass,"['forward_pass', 'head_pass', 'pass_to_final_third', 'short_or_medium_pass']",59.0,65.0,12046,Slovenia,4-4-2,11049,Kazakhstan,5-4-1,234139,J. Gorenc Stankovič,RCMF,True,18.0,high,12.0,590472.0,B. Šeško,SS,70.0,71.0,1615272856.0,14.825304,['attack'],11.0,4.0,50.0,50.0,75.0,48.0,12046.0,Slovenia,4-4-2,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1615272586,5414103,1H,0,17,00:00:17.556,18.556136,1615272863.0,,,,,,duel,['aerial_duel'],30.0,29.0,11049,Kazakhstan,5-4-1,12046,Slovenia,4-4-2,80626,A. Darabayev,LCMF,,,,,,,,,,1615272856.0,14.825304,['attack'],11.0,5.0,50.0,50.0,75.0,48.0,12046.0,Slovenia,4-4-2,False,False,False,center,0.0,,590472.0,B. Šeško,SS,194.0,False,179.0,1615272862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1615272862,5414103,1H,0,17,00:00:17.556,18.556136,1615272863.0,,,,,,duel,['aerial_duel'],70.0,71.0,12046,Slovenia,4-4-2,11049,Kazakhstan,5-4-1,590472,B. Šeško,SS,,,,,,,,,,1615272856.0,14.825304,['attack'],11.0,6.0,50.0,50.0,75.0,48.0,12046.0,Slovenia,4-4-2,False,False,False,center,0.0,,80626.0,A. Darabayev,LCMF,179.0,True,194.0,1615272586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1615272863,5414103,1H,0,18,00:00:18.325,19.325746,1615272864.0,,,,,,pass,"['head_pass', 'short_or_medium_pass']",74.0,60.0,12046,Slovenia,4-4-2,11049,Kazakhstan,5-4-1,353806,Ž. Celar,CF,True,-97.0,high,8.0,85602.0,B. Verbič,RW,73.0,48.0,1615272856.0,14.825304,['attack'],11.0,7.0,50.0,50.0,75.0,48.0,12046.0,Slovenia,4-4-2,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1615272587,5414103,1H,0,19,00:00:19.324,20.324397,1615272588.0,,,,,,duel,['loose_ball_duel'],27.0,52.0,11049,Kazakhstan,5-4-1,12046,Slovenia,4-4-2,106518,S. Maliy,RCB3,,,,,,,,,,1615272856.0,14.825304,['attack'],11.0,8.0,50.0,50.0,75.0,48.0,12046.0,Slovenia,4-4-2,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1615272864,5414103,1H,0,19,00:00:19.324,20.324397,1615272588.0,,,,,,duel,"['foul_suffered', 'loose_ball_duel']",73.0,48.0,12046,Slovenia,4-4-2,11049,Kazakhstan,5-4-1,85602,B. Verbič,RW,,,,,,,,,,1615272856.0,14.825304,['attack'],11.0,9.0,50.0,50.0,75.0,48.0,12046.0,Slovenia,4-4-2,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
