wyscout,skillcorner,date,home,result,away
5414103,,2023-03-23,Kazakhstan,1-2,Slovenia
5414104,,2023-03-23,Italy,1-2,England
5414105,,2023-03-23,North Macedonia,2-1,Malta
5414106,,2023-03-23,Denmark,3-1,Finland
5414107,,2023-03-23,San Marino,0-2,Northern Ireland
5414108,,2023-03-23,Portugal,4-0,Liechtenstein
5414109,,2023-03-23,Slovakia,0-0,Luxembourg
5414110,,2023-03-23,Bosnia-Herzegovina,3-0,Iceland
5414111,952209,2023-03-24,France,4-0,Netherlands
5414112,,2023-03-24,Gibraltar,0-3,Greece
5414113,726849,2023-03-24,Czech Republic,3-1,Poland
5414114,,2023-03-24,Moldova,1-1,Faroe Islands
5414115,722109,2023-03-24,Sweden,0-3,Belgium
5414116,,2023-03-24,Austria,4-1,Azerbaijan
5414117,,2023-03-24,Bulgaria,0-1,Montenegro
5414118,,2023-03-24,Serbia,2-0,Lithuania
5414119,,2023-03-25,Scotland,3-0,Cyprus
5414120,,2023-03-25,Armenia,1-2,Turkey
5414121,,2023-03-25,Belarus,0-5,Switzerland
5414122,,2023-03-25,Spain,3-0,Norway
5414123,,2023-03-25,Croatia,1-1,Wales
5414124,,2023-03-25,Israel,1-1,Kosovo
5414125,,2023-03-25,Andorra,0-2,Romania
5444933,,2023-03-25,Germany,2-0,Peru
5414126,,2023-03-26,Kazakhstan,3-2,Denmark
5414127,726848,2023-03-26,England,2-0,Ukraine
5414128,,2023-03-26,Slovenia,2-0,San Marino
5414129,,2023-03-26,Liechtenstein,0-7,Iceland
5414130,,2023-03-26,Malta,0-2,Italy
5414131,,2023-03-26,Northern Ireland,0-1,Finland
5414132,,2023-03-26,Slovakia,2-0,Bosnia-Herzegovina
5414133,,2023-03-26,Luxembourg,0-6,Portugal
5414134,,2023-03-27,Netherlands,3-0,Gibraltar
5414135,952208,2023-03-27,Republic of Ireland,0-1,France
5414136,731071,2023-03-27,Poland,1-0,Albania
5414137,,2023-03-27,Moldova,0-0,Czech Republic
5414138,,2023-03-27,Sweden,5-0,Azerbaijan
5414139,,2023-03-27,Austria,2-1,Estonia
5414140,,2023-03-27,Hungary,3-0,Bulgaria
5414141,,2023-03-27,Montenegro,0-2,Serbia
5414142,,2023-03-28,Georgia,1-1,Norway
5414143,,2023-03-28,Scotland,2-0,Spain
5414144,,2023-03-28,Turkey,0-2,Croatia
5414145,,2023-03-28,Wales,1-0,Latvia
5414146,,2023-03-28,Switzerland,3-0,Israel
5414147,,2023-03-28,Romania,2-1,Belarus
5414148,,2023-03-28,Kosovo,1-1,Andorra
5452656,,2023-03-28,Germany,2-3,Belgium
5459001,,2023-06-12,Germany,3-3,Ukraine
5414149,,2023-06-16,Malta,0-4,England
5414150,,2023-06-16,North Macedonia,2-3,Ukraine
5414151,,2023-06-16,Greece,2-1,Republic of Ireland
5414152,,2023-06-16,Gibraltar,0-3,France
5414153,,2023-06-16,Wales,2-4,Armenia
5414154,,2023-06-16,Latvia,2-3,Turkey
5414155,,2023-06-16,Denmark,1-0,Northern Ireland
5414156,,2023-06-16,Finland,2-0,Slovenia
5414157,,2023-06-16,San Marino,0-3,Kazakhstan
5414158,,2023-06-16,Andorra,1-2,Switzerland
5414159,,2023-06-16,Belarus,1-2,Israel
5414160,,2023-06-16,Kosovo,0-0,Romania
5463840,,2023-06-16,Poland,1-0,Germany
5414161,,2023-06-17,Lithuania,1-1,Bulgaria
5414162,,2023-06-17,Luxembourg,2-0,Liechtenstein
5414163,,2023-06-17,Norway,1-2,Scotland
5414164,,2023-06-17,Azerbaijan,1-1,Estonia
5414165,,2023-06-17,Montenegro,0-0,Hungary
5414166,,2023-06-17,Cyprus,1-2,Georgia
5414167,,2023-06-17,Albania,2-0,Moldova
5414168,,2023-06-17,Faroe Islands,0-3,Czech Republic
5414169,,2023-06-17,Belgium,1-1,Austria
5414170,,2023-06-17,Iceland,1-2,Slovakia
5414171,911559,2023-06-17,Portugal,3-0,Bosnia-Herzegovina
5414172,,2023-06-19,Armenia,2-1,Latvia
5414173,,2023-06-19,England,7-0,North Macedonia
5414174,,2023-06-19,Ukraine,1-0,Malta
5414175,,2023-06-19,Republic of Ireland,3-0,Gibraltar
5414176,952207,2023-06-19,France,1-0,Greece
5414177,,2023-06-19,Turkey,2-0,Wales
5414178,,2023-06-19,Northern Ireland,0-1,Kazakhstan
5414179,,2023-06-19,Finland,6-0,San Marino
5414180,,2023-06-19,Slovenia,1-1,Denmark
5414181,,2023-06-19,Switzerland,2-2,Romania
5414182,,2023-06-19,Israel,2-1,Andorra
5414183,,2023-06-19,Belarus,2-1,Kosovo
5414184,,2023-06-20,Scotland,2-0,Georgia
5414185,,2023-06-20,Norway,3-1,Cyprus
5414186,1266811,2023-06-20,Moldova,3-2,Poland
