,id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient.id,pass.recipient.name,pass.recipient.position,pass.endLocation.x,pass.endLocation.y,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.id,possession.team.name,possession.team.formation,possession.attack.withShot,possession.attack.withShotOnGoal,possession.attack.withGoal,possession.attack.flank,possession.attack.xg,pass,aerialDuel.opponent.id,aerialDuel.opponent.name,aerialDuel.opponent.position,aerialDuel.opponent.height,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,possession.attack,carry.progression,carry.endLocation.x,carry.endLocation.y,groundDuel.opponent.id,groundDuel.opponent.name,groundDuel.opponent.position,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent.id,infraction.opponent.name,infraction.opponent.position,possession,infraction.opponent,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper.id,shot.goalkeeper.name,shot.goalkeeper
0,1798755313,5414284,1H,0,4,00:00:04.906,6.906705,1798755314.0,,,,,,pass,"['back_pass', 'short_or_medium_pass']",49,49,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,62235,J. Magennis,CF,True,180.0,,17.0,660489.0,S. Charles,DMF,33.0,48.0,1798755313.0,11.000722,['attack'],6.0,0.0,49.0,49.0,87.0,26.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1798755314,5414284,1H,0,7,00:00:07.380,9.380118,1798755315.0,,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",33,48,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,660489,S. Charles,DMF,True,-70.0,,30.0,424246.0,J. Lewis,LB,43.0,7.0,1798755313.0,11.000722,['attack'],6.0,1.0,49.0,49.0,87.0,26.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1798755315,5414284,1H,0,10,00:00:10.808,12.808961,1798755317.0,,,,,,pass,"['forward_pass', 'long_pass', 'pass_to_final_third', 'progressive_pass']",43,7,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,424246,J. Lewis,LB,True,27.0,high,33.0,62235.0,J. Magennis,CF,71.0,29.0,1798755313.0,11.000722,['attack'],6.0,2.0,49.0,49.0,87.0,26.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1798754647,5414284,1H,0,14,00:00:14.001,16.001687,1798754651.0,,,,,,duel,['aerial_duel'],29,71,12046,Slovenia,4-4-2,10962,Northern Ireland,4-1-4-1,85327,M. Blažič,RCB,,,,,,,,,,1798755313.0,11.000722,['attack'],6.0,3.0,49.0,49.0,87.0,26.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,left,0.0,,62235.0,J. Magennis,CF,188.0,False,185.0,1798755317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1798755317,5414284,1H,0,14,00:00:14.001,16.001687,1798755318.0,,,,,,duel,['aerial_duel'],71,29,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,62235,J. Magennis,CF,,,,,,,,,,1798755313.0,11.000722,['attack'],6.0,4.0,49.0,49.0,87.0,26.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,left,0.0,,85327.0,M. Blažič,RCB,185.0,True,188.0,1798754647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1798754651,5414284,1H,0,15,00:00:15.907,17.907427,1798754653.0,,,,,,duel,"['loose_ball_duel', 'recovery']",13,74,12046,Slovenia,4-4-2,10962,Northern Ireland,4-1-4-1,505514,Ž. Karničnik,RB,,,,,,,,,,1798754651.0,3.408281,[],3.0,0.0,13.0,74.0,15.0,100.0,12046.0,Slovenia,4-4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1798755318,5414284,1H,0,15,00:00:15.907,17.907427,1798754653.0,,,,,,duel,['loose_ball_duel'],87,26,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,590562,D. Taylor,LW,,,,,,,,,,1798755313.0,11.000722,['attack'],6.0,5.0,49.0,49.0,87.0,26.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1798754653,5414284,1H,0,17,00:00:17.660,19.660575,1798754655.0,,,,,,clearance,[],10,72,12046,Slovenia,4-4-2,10962,Northern Ireland,4-1-4-1,512313,J. Bijol,LCB,,,,,,,,,,1798754651.0,3.408281,[],3.0,1.0,13.0,74.0,15.0,100.0,12046.0,Slovenia,4-4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1798754655,5414284,1H,0,20,00:00:20.970,22.970841,,,,,,,game_interruption,['ball_out'],15,100,12046,Slovenia,4-4-2,10962,Northern Ireland,4-1-4-1,0,,,,,,,,,,,,1798754651.0,3.408281,[],3.0,2.0,13.0,74.0,15.0,100.0,12046.0,Slovenia,4-4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1798755322,5414284,1H,0,24,00:00:24.843,26.843481,1798755324.0,,,,,,throw_in,[],79,0,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,424246,J. Lewis,LB,True,142.0,,12.0,660489.0,S. Charles,DMF,70.0,10.0,1798755322.0,30.086757,"['attack', 'throw_in']",11.0,0.0,79.0,0.0,43.0,89.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
