,id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient.id,pass.recipient.name,pass.recipient.position,pass.endLocation.x,pass.endLocation.y,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.id,possession.team.name,possession.team.formation,possession.attack.withShot,possession.attack.withShotOnGoal,possession.attack.withGoal,possession.attack.flank,possession.attack.xg,pass,carry.progression,carry.endLocation.x,carry.endLocation.y,groundDuel.opponent.id,groundDuel.opponent.name,groundDuel.opponent.position,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,possession.attack,aerialDuel.opponent.id,aerialDuel.opponent.name,aerialDuel.opponent.position,aerialDuel.opponent.height,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,possession,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent.id,infraction.opponent.name,infraction.opponent.position,shot.goalkeeper.id,shot.goalkeeper.name,infraction.opponent
0,1845095909,5414324,1H,0,3,00:00:03.735,4.735464,1845095910.0,,,,,,pass,"['back_pass', 'short_or_medium_pass']",49,50,11049,Kazakhstan,5-3-2,12046,Slovenia,4-4-2,352114,R. Orazov,CF,True,-148.0,,23.0,476139.0,N. Alip,LCB3,30.0,33.0,1845095909.0,30.1140835,['attack'],18.0,0.0,49.0,50.0,76.0,100.0,11049.0,Kazakhstan,5-3-2,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1845095910,5414324,1H,0,6,00:00:06.831,7.831611,1845095911.0,,,,,,pass,"['lateral_pass', 'long_pass', 'progressive_pass']",30,33,11049,Kazakhstan,5-3-2,12046,Slovenia,4-4-2,476139,N. Alip,LCB3,True,54.0,high,50.0,334857.0,M. Bystrov,RB5,59.0,92.0,1845095909.0,30.1140835,['attack'],18.0,1.0,49.0,50.0,76.0,100.0,11049.0,Kazakhstan,5-3-2,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1845095911,5414324,1H,0,9,00:00:09.825,10.825932,1845095913.0,,,,,,pass,"['forward_pass', 'head_pass', 'pass_to_final_third', 'progressive_pass', 'short_or_medium_pass', 'under_pressure']",59,92,11049,Kazakhstan,5-3-2,12046,Slovenia,4-4-2,334857,M. Bystrov,RB5,True,0.0,high,14.0,742268.0,I. Chesnokov,RCMF3,72.0,93.0,1845095909.0,30.1140835,['attack'],18.0,2.0,49.0,50.0,76.0,100.0,11049.0,Kazakhstan,5-3-2,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1845095913,5414324,1H,0,10,00:00:10.995,11.995665,1845095914.0,,,,,,touch,['carry'],72,93,11049,Kazakhstan,5-3-2,12046,Slovenia,4-4-2,742268,I. Chesnokov,RCMF3,,,,,,,,,,1845095909.0,30.1140835,['attack'],18.0,3.0,49.0,50.0,76.0,100.0,11049.0,Kazakhstan,5-3-2,False,False,False,right,0.0,,3.789,81.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1845095914,5414324,1H,0,13,00:00:13.189,14.189829,1845095956.0,,,,,,touch,[],81,97,11049,Kazakhstan,5-3-2,12046,Slovenia,4-4-2,742268,I. Chesnokov,RCMF3,,,,,,,,,,1845095909.0,30.1140835,['attack'],18.0,4.0,49.0,50.0,76.0,100.0,11049.0,Kazakhstan,5-3-2,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1845095956,5414324,1H,0,14,00:00:14.653,15.653473,1845095958.0,,,,,,pass,"['recovery', 'short_or_medium_pass']",17,14,12046,Slovenia,4-4-2,11049,Kazakhstan,5-3-2,345821,J. Mlakar,LW,True,131.0,,12.0,512313.0,J. Bijol,LCB,10.0,27.0,1845095909.0,30.1140835,['attack'],18.0,5.0,49.0,50.0,76.0,100.0,11049.0,Kazakhstan,5-3-2,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1845095958,5414324,1H,0,15,00:00:15.890,16.890729,1845095960.0,,,,,,pass,"['forward_pass', 'long_pass', 'loss']",10,27,12046,Slovenia,4-4-2,11049,Kazakhstan,5-3-2,512313,J. Bijol,LCB,True,-24.0,high,28.0,590472.0,B. Šeško,CF,34.0,10.0,1845095909.0,30.1140835,['attack'],18.0,6.0,49.0,50.0,76.0,100.0,11049.0,Kazakhstan,5-3-2,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1845095916,5414324,1H,0,17,00:00:17.134,18.134074,1845095917.0,,,,,,duel,"['defensive_duel', 'ground_duel', 'recovery', 'counterpressing_recovery']",66,90,11049,Kazakhstan,5-3-2,12046,Slovenia,4-4-2,106518,S. Maliy,RCB3,,,,,,,,,,1845095909.0,30.1140835,['attack'],18.0,7.0,49.0,50.0,76.0,100.0,11049.0,Kazakhstan,5-3-2,False,False,False,right,0.0,,,,,590472.0,B. Šeško,CF,defensive_duel,,,True,True,False,,1845095960.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1845095960,5414324,1H,0,17,00:00:17.553,18.553196,1845095917.0,,,,,,duel,"['ground_duel', 'offensive_duel']",34,10,12046,Slovenia,4-4-2,11049,Kazakhstan,5-3-2,590472,B. Šeško,CF,,,,,,,,,,1845095909.0,30.1140835,['attack'],18.0,8.0,49.0,50.0,76.0,100.0,11049.0,Kazakhstan,5-3-2,False,False,False,right,0.0,,,,,106518.0,S. Maliy,RCB3,offensive_duel,False,False,,,False,,1845095916.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1845095917,5414324,1H,0,18,00:00:18.616,19.61605,1845095918.0,,,,,,pass,"['back_pass', 'short_or_medium_pass']",77,94,11049,Kazakhstan,5-3-2,12046,Slovenia,4-4-2,334857,M. Bystrov,RB5,True,-144.0,,17.0,80924.0,A. Beisebekov,DMF,64.0,80.0,1845095909.0,30.1140835,['attack'],18.0,9.0,49.0,50.0,76.0,100.0,11049.0,Kazakhstan,5-3-2,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
